coin,symbol,price,date,mkt_cap_to_volume_ratio,price_change_7d,price_change_24h,liquidity_ratio,moving_average_mkt_cap_7d,std_dev_price_7d
Avalanche,AVAX,17.790167875,2022-03-17,15.345026667297704,10.646715328467154,0.08264350658162578,0.065167693851659,2667166723.5535717,35.06035313434435
Axie Infinity,AXS,17.790167875,2022-03-16,12.919453002036505,5.86530612244898,-0.36751065429932317,0.07740265782478321,2667166723.5535717,35.09546680807023
Axie Infinity,AXS,17.790167875,2022-03-17,16.414177075055655,5.346633416458853,0.008719778042013404,0.06092294456355555,2667166723.5535717,33.97474328015666
Baby Doge Coin,BABYDOGE,2.864e-09,2022-03-16,42.497369690759456,-0.9999999996459827,-0.3829034947136797,0.02353086808140594,2667166723.5535717,35.27214987930152
Baby Doge Coin,BABYDOGE,2.83e-09,2022-03-17,45.76640577848719,-0.9999999978721804,-0.011871508379888263,0.021850088137575725,2667166723.5535717,35.497812473544144
Badger DAO,BADGER,7.32,2022-03-16,17.592122436781644,4.545454545454545,0.44748152752535253,0.05684362438890251,2667166723.5535717,34.56431444803183
Badger DAO,BADGER,7.24,2022-03-17,18.540899840667983,-0.9017505767403989,-0.010928961748633892,0.05393481484682744,2667166723.5535717,31.980872258637604
BakerySwap,BAKE,0.548429,2022-03-16,9.525133549220351,-0.9931257332664828,-0.3829034947136797,0.10498540464893028,1236732284.0,23.471543898703906
BakerySwap,BAKE,0.559948,2022-03-17,6.965768237304465,-0.9889031311930242,0.02100363036965569,0.14355918341419996,718741938.0,18.54891948832936
Balancer,BAL,11.45,2022-03-16,5.045445343433281,-0.775049115913556,0.44748152752535253,0.19819855967749492,197597328.85714287,4.702105256714382
Balancer,BAL,11.52,2022-03-17,13.993967912885042,51.66064267448294,0.006113537117903967,0.07145936064918679,150716898.14285713,5.117817465225492
Banana,BANANA,17.790167875,2022-03-16,151.4339107481946,51.66064267448294,0.44748152752535253,0.00660354074631809,98361899.42857143,6.4634556369751355
Banana,BANANA,15.33,2022-03-17,125.87290512586775,1.094262295081967,-0.18065205772314274,0.007944521491738361,97737739.42857143,6.9722362144234005
Band Protocol,BAND,3.62,2022-03-16,5.803823176164901,-0.5,-0.3829034947136797,0.17230021826074798,108821232.42857143,7.2810993386466665
Band Protocol,BAND,3.57,2022-03-17,10.102849513509133,5.509502597419173,-0.013812154696132617,0.0989819752004461,115066908.0,6.781435315454732
Basic Attention Token,BAT,0.822605,2022-03-16,3.767029937254887,0.4690739140063007,-0.3829034947136797,0.20762941343720714,274472639.5714286,6.725827957393555
Basic Attention Token,BAT,0.851143,2022-03-17,6.142785759772095,-0.9256643668122271,0.03469222773992375,0.16279258940606472,439030243.14285713,7.324603706794759
Bitcoin Diamond,BCD,0.515751,2022-03-16,117.26891413322844,-0.9552299479166667,-0.3829034947136797,0.008527409052870624,435046630.14285713,7.5638127573733325
Bitcoin Diamond,BCD,0.52929,2022-03-17,7.216143371105427,-0.9717108498129342,0.026251039745924132,0.13857817792314897,437313715.4285714,5.351105409954193
Bitcoin Cash,BCH,17.790167875,2022-03-16,4.071829447956317,18.280495759947815,0.44748152752535253,0.20762941343720714,1229444848.142857,111.09933990672648
Bitcoin Cash,BCH,17.790167875,2022-03-17,4.739693289705329,51.66064267448294,0.007037250059207523,0.20762941343720714,2015535622.857143,144.12230990381667
Beldex,BDX,0.101366,2022-03-16,266.05859022340087,-0.971606162464986,-0.3829034947136797,0.0011352598750529917,2016038822.0,144.45710091875677
Beldex,BDX,0.09810351345,2022-03-17,266.05859022340087,-0.8807404362361037,-0.03218521545685926,0.001840969967234254,1862267291.0,144.52783039931973
Beta Finance,BETA,0.387492,2022-03-16,7.468406978806659,-0.5447392506312101,0.44748152752535253,0.1338973629634449,1699957053.2857144,144.57294585553885
Beta Finance,BETA,0.390171,2022-03-17,8.67412449908814,-0.2434895909072401,0.006913691121364973,0.1152854100843404,1706233722.0,144.5851809553522
Bezoge Earth,BEZOGE,3.051e-09,2022-03-16,266.05859022340087,-0.9999999942356742,-0.3829034947136797,0.0014250008170720938,1711037614.4285715,144.6368239590974
Bezoge Earth,BEZOGE,2.984e-09,2022-03-17,266.05859022340087,-0.9999999999899043,-0.02196001311045559,0.0013482813294893763,927838484.1428572,112.43969274607878
Bifrost,BFC,0.149179,2022-03-16,115.08701011771075,-0.9994988106836888,0.44748152752535253,0.008689077933097767,142824194.2857143,0.1649807173833967
Bifrost,BFC,0.149851,2022-03-17,83.94527665221128,0.47831620069845915,0.00450465548099932,0.011912522537069488,143845256.0,0.16307136394228303
Biconomy,BICO,1.31,2022-03-16,5.1501997765312035,12.353242446996173,0.44748152752535253,0.1941672252320912,144442067.57142857,0.4563323921868152
Biconomy,BICO,1.29,2022-03-17,4.856693123160437,2.329100987891363,-0.01526717557251911,0.2059014178250697,145707635.14285713,0.5818926117417105
Beefy.Finance,BIFI,17.790167875,2022-03-16,79.03195289944271,51.66064267448294,0.44748152752535253,0.01265311008159399,141774801.14285713,550.0319072452922
Beefy.Finance,BIFI,17.790167875,2022-03-17,81.38110673602273,51.66064267448294,0.004911625095313177,0.012287864347233774,139120610.0,711.7882084192853
BitDAO,BIT,1.12,2022-03-16,18.204636454997484,51.66064267448294,-0.3829034947136797,0.05493106124212016,262363778.57142857,711.6788735309049
BitDAO,BIT,1.14,2022-03-17,23.890833888038706,6.641826262409587,0.01785714285714257,0.041857057174578764,384393411.5714286,711.5821197887142
BNB,BNB,17.790167875,2022-03-16,45.88145861537334,51.66064267448294,0.44748152752535253,0.02179529662260854,2667166723.5535717,688.4723941417246
BNB,BNB,17.790167875,2022-03-17,45.99640533423524,51.66064267448294,0.016117674673343352,0.02174082936989203,2667166723.5535717,659.209522960572
Bancor Network Token,BNT,2.29,2022-03-16,22.344550987707315,0.7751937984496124,-0.3829034947136797,0.04475364040880223,2667166723.5535717,659.0764797155834
Bancor Network Token,BNT,2.32,2022-03-17,32.921627400422366,-0.9984062978711712,0.013100436681222627,0.030375169120198792,2667166723.5535717,535.4529048518516
Boba Network,BOBA,1.21,2022-03-16,44.028603749007594,-0.9991728644864925,-0.3829034947136797,0.022712507662079565,2667166723.5535717,187.82309792537768
Boba Network,BOBA,1.28,2022-03-17,26.83876130107143,0.1428571428571428,0.05785123966942152,0.037259543716724325,2667166723.5535717,187.80742294777914
Spookyswap,BOO,12.83,2022-03-16,22.351211081441036,10.254385964912283,0.44748152752535253,0.04474030495959719,2667166723.5535717,186.71014991411866
Spookyswap,BOO,13.41,2022-03-17,39.790265607515956,-0.965026210781629,0.0452065471551053,0.025131774938720458,2667166723.5535717,145.2577449947254
Bitcoin SV,BSV,17.790167875,2022-03-16,10.804981008857652,-0.8020841354174688,0.44748152752535253,0.0925499081562684,467486755.28571427,27.572253219846758
Bitcoin SV,BSV,17.790167875,2022-03-17,17.892551820716776,33.10043668122271,0.012709116846064017,0.055889177240898445,596136255.7142857,35.216808824903836
Biswap,BSW,0.357696,2022-03-16,15.465449706163835,-0.8458206896551724,-0.3829034947136797,0.06466026006353019,522500771.71428573,35.449400098363924
Biswap,BSW,0.355954,2022-03-17,16.287116826429845,-0.7058231404958677,-0.004870057255322968,0.06139822110057286,506412250.4285714,35.5515748078759
Bitcoin,BTC,17.790167875,2022-03-16,21.785104051104568,51.66064267448294,0.44748152752535253,0.045902925120492925,2667166723.5535717,15431.98670224584
Bitcoin,BTC,17.790167875,2022-03-17,37.901590113808105,51.66064267448294,-0.00019775102265184863,0.026384117315323013,2667166723.5535717,19918.906671206503
BTC Standard Hashrate Token,BTCST,15.38,2022-03-16,10.279240111951523,0.1469052945563014,-0.3829034947136797,0.09728345569409498,2667166723.5535717,19918.714094975803
BTC Standard Hashrate Token,BTCST,15.08,2022-03-17,34.90699004316386,-0.8044352224095448,-0.01950585175552666,0.028647557373565034,2667166723.5535717,19924.758234925728
Bitcoin Gold,BTG,17.790167875,2022-03-16,56.56465219825641,-0.6191573825073633,0.44748152752535253,0.017678885330984582,2667166723.5535717,19929.461788474455
Bitcoin Gold,BTG,17.790167875,2022-03-17,84.81293605392396,51.66064267448294,0.0060524546065905405,0.011790654191763873,2667166723.5535717,19926.576803370626
Redacted Cartel,BTRFLY,17.790167875,2022-03-16,118.20365238644384,51.66064267448294,0.44748152752535253,0.008459975472929506,2667166723.5535717,19915.486459526797
Redacted Cartel,BTRFLY,17.790167875,2022-03-17,36.46881740017488,-0.9968186070006799,0.13756891572591234,0.02742068625442197,2667166723.5535717,15419.379657676462
BTSE Token,BTSE,8.42,2022-03-16,103.3800456820604,-0.9997938870118953,-0.3829034947136797,0.00967304660587445,225811561.7142857,50.79722513146992
BTSE Token,BTSE,8.47,2022-03-17,266.05859022340087,-0.44928478543563066,0.005938242280285166,0.001061915979761898,234532042.0,51.61929382840254
BitTorrent,BTT,1.812224e-06,2022-03-16,19.07962245181244,-0.9999998798259947,-0.3829034947136797,0.05241193857612243,458238579.71428573,53.501747377259804
BitTorrent,BTT,1.826877e-06,2022-03-17,23.38090158762708,-0.9999999385717215,0.00808564504167264,0.04276995034824445,625140476.1428572,56.109669374219756
Binance USD,BUSD,1.0,2022-03-16,4.449862568546151,-0.9665775401069518,0.44748152752535253,0.20762941343720714,2667166723.5535717,58.13941939863275
Binance USD,BUSD,0.999538,2022-03-17,4.796561356966493,-0.9912528397654677,-0.00046199999999996244,0.20762941343720714,2667166723.5535717,48.089484401288075
bZx Protocol,BZRX,0.177963,2022-03-16,266.05859022340087,-0.9986309485345026,-0.3829034947136797,2.2443396540767613e-07,2667166723.5535717,3.9312744829943718
bZx Protocol,BZRX,0.062809109348,2022-03-17,266.05859022340087,-0.9925404858256532,-0.3829034947136797,4.888063239422126e-07,2667166723.5535717,3.092688489880959
Swarm,BZZ,1.2,2022-03-16,51.65901720844868,-0.8583234946871311,0.44748152752535253,0.019357704695869688,2667166723.5535717,0.5452629315760562
Swarm,BZZ,1.26,2022-03-17,71.24452451345907,51.66064267448294,0.050000000000000044,0.014036166383720987,2667166723.5535717,0.5636428348368527
CRYPTO20,C20,2.94,2022-03-16,266.05859022340087,51.66064267448294,0.44748152752535253,0.0005364500425574151,2667166723.5535717,0.945753793992934
CRYPTO20,C20,3.21,2022-03-17,266.05859022340087,2.21,0.09183673469387754,0.002285796241601703,2620133589.428571,1.234825410335509
Coin98,C98,1.34,2022-03-16,4.736450124950013,0.34061936614715993,-0.3829034947136797,0.20762941343720714,110822028.0,1.2227387187314929
Coin98,C98,1.37,2022-03-17,7.735819090847147,6.698229407236336,0.02238805970149249,0.12926879342139455,136521548.0,1.0910226316798723
PancakeSwap,CAKE,5.57,2022-03-16,14.702304549130545,51.66064267448294,0.44748152752535253,0.06801654779074327,342482201.28571427,1.6288822080934922
PancakeSwap,CAKE,6.51,2022-03-17,4.01922280456232,4.425,0.16876122082585265,0.20762941343720714,589519120.1428572,2.129439924181615
cBAT,CBAT,0.013887822764,2022-03-16,11.576860016265123,-0.9889779184412698,-0.3829034947136797,0.0863792080577144,591605774.2857143,2.3559061527398395
cBAT,CBAT,0.013887822764,2022-03-17,11.576329751690189,-0.9952762507605443,0.0,0.08638316473785625,591263224.4285715,2.612575858486778
cDAI,CDAI,0.021895790224,2022-03-16,266.05859022340087,-0.9931788815501558,0.44748152752535253,4.834152216012782e-08,853464027.2857143,2.7573827837215608
cDAI,CDAI,0.021937899212,2022-03-17,266.05859022340087,-0.9836284334238806,0.00192315452281977,9.722858811232702e-08,1093685864.142857,2.8625197461749927
Blox,CDT,0.110513,2022-03-17,266.05859022340087,-0.9193335766423357,0.44748152752535253,0.0020282575977277205,1068039760.8571428,2.942182042521533
Celsius Network,CEL,3.18,2022-03-16,266.05859022340087,-0.4290843806104129,0.44748152752535253,0.0029178406786029257,1041665400.4285715,2.5358553640841675
Celsius Network,CEL,3.27,2022-03-17,266.05859022340087,-0.49769585253456217,0.028301886792452713,0.0026717485192235017,981848483.4285715,1.5564533453909652
Celo,CELO,2.52,2022-03-16,23.042112885568,51.66064267448294,-0.22935779816513757,0.043398797886557164,1121511474.142857,1.5937089210577675
Celo,CELO,3.01,2022-03-17,1.7323079016554437,51.66064267448294,0.19444444444444442,0.20762941343720714,1292451011.5714285,1.5913490201983507
Celer Network,CELR,0.037068909834,2022-03-16,5.812857998468536,0.692969719511138,-0.3829034947136797,0.17203241508109463,1044771072.4285715,1.5886371241216461
Celer Network,CELR,0.03831685277,2022-03-17,7.270887583291519,0.746605379107619,0.03366548791395463,0.13753479042888758,800138583.4285715,1.5857017341493342
